1,2,3,4,5,6,7,8,9,10
07/25-18:05:38.794669, 42921, TCP, stream_tcp, 16351, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:38.850421, 43005, TCP, stream_tcp, 16411, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:38.864394, 43023, TCP, stream_tcp, 16334, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:38.873991, 43040, TCP, stream_tcp, 16357, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:38.887313, 43053, TCP, stream_tcp, 16334, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:39.070185, 43318, TCP, stream_tcp, 16375, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:39.154052, 43422, TCP, stream_tcp, 16382, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:39.378083, 43747, TCP, stream_tcp, 16380, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:39.435578, 43830, TCP, stream_tcp, 16433, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:39.442924, 43845, TCP, stream_tcp, 16424, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:39.450835, 43860, TCP, stream_tcp, 16330, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:39.456718, 43878, TCP, stream_tcp, 16408, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:40.148457, 44134, TCP, stream_tcp, 16362, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:40.243296, 44263, TCP, stream_tcp, 16439, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:40.471478, 44587, TCP, stream_tcp, 16382, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
